formula,target
As4Mn4O14,3.145057
F2O9Pb2Ti4,3.497354
In2O16Se4V2,2.891551
Au2O8Sr5,2.852288
Au2Bi2K4,1.328635
Co4O12Y4,2.71319
O12Ti4Y4,0.704067
Ag2H3I1O6,2.365721
Ag1N1O3,3.623656
Li4Nb4Rb8S16,3.177852
Cu1H12I4N4,2.545191
B2Ge6H8N2O16,4.707328
K11Li1Mn4O16,3.193698
Ag4Al4Bi4Cl16S6,2.785359
Cl16Fe4Na4,3.567156
C4H4N12O4,5.117009
Dy2O2Te1,1.713916
F8K4Pd2,4.127504
Ge16Se32,2.302382
O8Sc2V2,3.806658
Br16Co4Rb8,3.98073
Cl18K6Ni6,4.310652
Ge2Na4O8Zn2,4.350956
C2Cl2H4Hg1N4,3.740012
Cs10Ga6Se14,3.09212
F8Pd2,2.750163
Li5O6Re1,3.609245
Na8O32V16,2.167175
Hg6O7Si2,1.990584
Cu6Ge3S12Sr3,2.285691
As8Na8,1.1328045
Na6O12Os3,1.631521
Ba2Ga4Se8,2.728743
Br4Cu2H16O8,3.094251
Na8S4,3.176068
Mo2Se4,1.850707
Ba32P24,1.354461
Cl18K4Nb6,1.5883710000000002
Li8Mo2O10,3.757493
Cr2H12O12Rb6,4.682243
Ge4Se16Tl16,1.613044
As2Cu2K4,1.746809
H20N4O8,5.6828140000000005
N24Zn4,4.4408825
Ca2Mn3O8,2.90442
Ag16Se12Sn2,0.757444
Mn3O14P2Pb3Te1,3.449574
Cl2N4O12S10,1.398037
Cu4Ge2Mg2S8,1.953033
Cl42Mo21,0.888528
Ag12K4S8,2.277804
B2Ba2Bi2S8,2.643864
C8Cs4K4,4.771103
Ge2Na4O6,4.539468
As4Rb4Si2,1.692943
Au1Ba4C4K1O4,3.977757
Cl2La2Te2,1.232877
Cu2Na2S4Zr1,0.880813
Cl6Cs2Cu4,3.543021
As4Cd8Cl8,1.84637
P4Ru4Se4,0.840951
Bi4O24Pd2Se8,3.798381
B8Hg2O14,3.556534
P8Ru2,1.495495
Br10Pd1Y6,0.804233
Cu6K6Se16Ta4,2.777628
Cs2F6Tl2,3.185747
Ag4Mo4O14,2.591079
As2Ba2Cu2,0.1918360000000003
C6Cu1Fe1K2N6,3.108285
Al4Cl16Ti2,2.900937
O2Rb1Tl1,1.770374
As4Hg12S12Sb4,2.083132
Br2N2Ti2,1.3965800000000002
Ba4Cd4O8,2.131317
Cu4O8Rb12,3.013668
H1Rb1,3.883237
Ag1Nb1O3,2.606289
O20Ta4V4,3.192392
Ba8Ga8S20,3.827609
Cl4La4Nb8O24,3.831859
As2Ba1Mg2,1.6732280000000002
F4N12O8S16,3.033335
C4Co1Hg1N4Se4,3.09748
K12S16Ta4,3.713095
Ba3Cu6Ge3Se12,1.456631
I6O26Tl2V4,2.376211
Au2Cl8Rb2,3.189251
K2Sb2Zn2,1.323095
F16Te4,5.203724
H16Mg8Ni4,2.483664
F9Y3,7.869972
Hg1Se4Sn1Tl2,1.366624
As4Cl4Co8O16,4.159088
Cu2Fe2O12Pb4Sr4,1.3150679999999997
Ga2Se4Zn1,2.339165
